external_video_id,estimated_view_count,date,title,players,decade,agg_view_count,video_ids,video_titles,video_counts,num_videos,id,title_custom,type,team
p5WUOnTxwPw,2144247,19890507,Michael Jordan THE SHOT on Ehlo,"Michael Jordan,Craig Ehlo",1980,5756462,TuCxuq-yn1w|x10bRYgNBN8|3g2z1dLzTcM|0muIsBfGY5s|zveLtpgQ49Q|kNAvTEP_moQ|QHwGy6UQluY|HJeO2sVZZZg|vgQ1RPi0wvg,"Michael Jordan - ""The Shot""|Michael Jordan famous move in 1989 ECF G6|Michael Jordan's , ""The Shot"" 5-7-1989|Michael Jordan 1989 Playoffs: Gm 5 Vs. Cavs, ""THE SHOT""|Michael Jordan (Age 26): The Shot (I) Vs. Cleveland Cavaliers (1989)|The Legend of The Shot (Michael Jordan)|Michael Jordan's Greatest Shot: Game 5 1989 Playoffs 1st Rd vs CLE|Michael Jordan 44 pts vs. Cavaliers - ""The Shot"" - 1989 1st Round Game 5|NBA: Where Amazing Happens - ""The Shot""",1427238|697839|609976|445959|208634|104907|66802|37611|13249,9,19890507-Michael Jordan,"""The Shot"" by Jordan",gw,chi|cle
l-5Xw1AJQKc,1451728,19860420,"Larry Bird (36pts, 12reb, 8ast) vs Michael Jordan (63 Points) 1986 Bulls (G2)","Michael Jordan,Larry Bird",1980,3178044,69vkEcc-zfc|iM63pKvNu50|MdlTT3zSUQU|tsRu0x_bQeY|QB0ZS8HWw5A|YsCRQ98oank|apUd2Uarw1E|tmki9sURXwY|v1UCbdcpW4w|xi1aO17iKxI|e2TW4B-omnE|L3Myw3jZrZw,"Michael Jordan 1986 Playoffs: 63pts, Gm 2 Vs. Celtics|Michael Jordan 63 Points In The Garden|NBA Vault: Michael Jordan Drops 63 vs the Boston Celtics|Michael Jordan scores 63 points (BEST QUALITY) vs Celtics, 1986 Game 2|Michael Jordan 63 pts vs. Boston - Playoff Career High - 1986 1st Round Game 2|MICHAEL JORDAN: 63 pts vs Boston Celtics (1986 Playoffs-Game 2)|04.20.86 - Michael Jordan FULL HLTS 63 pts vs. Boston Celtics (NBA Playoffs Record)|Michael Jordan scores 63 points vs. Celtics (April 20, 1986)|1986 NBA Playoffs - Celtics vs. Bulls [Jordan 63 Points]|Michael Jordan vs. Larry Bird (1986 Playoffs)(63 points)|CHICAGO BULLS VS BOSTON CELTICS APRIL 20 1986 - MJ 63 POINTS|Michael Jordan Breaks NBA Playoffs most points record - (63 points)",417421|194073|192824|172299|169927|163061|155064|86757|72498|52804|30730|18858,12,19860420-Michael Jordan,Jordan scores 63 points in first playoffs,,bos|chi
H_RJ5XN8TK8,857308,19870526,"Famous Bird Steal, huge mistake by Isiah Thomas","Isiah Thomas,Larry Bird",1980,1958433,WNyw8jUo1cA|VNpJXDPnQTE|21USQv6Pbmo|M0vwJlvB-Po|oCNWm9YH4xU|Wp_gpLSUMRI,"Amazing Playoff Moments:  Larry Bird Steals the Ball|Larry Bird steal 1987 conference finals|Larry Bird (36pts, 12rebs, 9asts) vs Detroit 1987 Game 5 (Bird Steals it!)|NBA's 60 Greatest Playoff Moments #4: Larry Bird steals the inbound|Where Will Amazing Happen Next? - Larry Bird Amazing Game Winner Steal vs. Pistons|My Favorite NBA Moment: Bird's Steal and Johnson's Layup",424078|283906|181411|135416|43480|32834,6,19870526-Isiah Thomas,Bird steals pass for game winner in conference finals,gw,bos|det
Rto2_oYVs0I,1616460,19850312,Larry Bird Scores 60 on Atlanta Hawks 1985,Larry Bird,1980,1780790,5AJodNs2p74|rxhWfJB4gU0|d63iPnJu1vg,"Larry Bird 60 Point Game Interview|Larry Bird Scores 60 Points on Hawks (March 12, 1985)|Larry Bird scores 60 on the Atlanta Hawks 3/12/85",81931|48845|33554,3,19850312-Larry Bird,Bird scores 60 against the Hawks,,bos|atl
wP-EIeGW4lk,1026999,19841113,Michael Jordan 1984: 45pts Vs. Spurs (MJ's First 40+pt Gm),Michael Jordan,1980,1186732,VPuJl6bStrY|4CIiiewcgJg,"Michael Jordan (Rookie, Age 21): 45 Pts, 18/27 (67%) FG Vs. San Antonio Spurs (Nov. 13, 1984) (720p)|Throwback Sports - 11.13.1984 - San Antonio Spurs @ Chicago Bulls",138101|21632,2,19841113-Michael Jordan,Jordan's first 40 point game,,chi|sas
fZ5j2M70uro,1011208,19841202,Rookie Jordan schooled by Magic: 1984-85 Lakers @ Bulls,"Magic Johnson,Michael Jordan",1980,1105948,zchjMYe60tc,Michael Jordan vs Magic Johnson | 1st Matchup Ever Rookie Jordan | 12.2.1984,94740,1,19841202-Magic Johnson,Magic Johnson schools Jordan in his rookie year,,lal|chi
f7njB1T-Xjk,355982,19800516,"Julius ""Dr J"" Erving — Sick Layup",Julius Erving,1980,1088907,NjdEP7I2fRA|lY6J1gL2mGg|chwnjKqjhNc|fr0vwEEbTf4|_wqLzr2id6s|lH2Y4sV2hEE|B93gof7E1BM,1980: Dr.J  Baseline Scoop|Dr. J (Julius Erving) Famous Reverse Lay-up vs the Lakers|Julius Erving Dunks Twice Over Kareem Abdul-Jabbar: 1980 NBA Finals Game 5|NBA Moment - 1980 Finals Dr J Up and Under|Julius Erving Behind the Backboard Lay-up|Julius Erving Revenge Dunks on Kareem Abdul-Jabbar (1980 NBA Finals)|Julius Erving - Baseline move.wmv,178485|155576|138813|138454|45951|45100|30546,7,19800516-Julius Erving,,,
2fySp51bhsQ,347744,19870609,Amazing Playoff Moments: Magic Johnson's Hook Shot,Magic Johnson,1980,1003000,0n1-KIcoIzU|PqUCum1y8Kg|WAMuXrTegSY|zT4D0t3jH5k|x6NGUpm4LHE|R8-FO57_fvU,"Magic Johnson 1987 Finals: Gm 4 vs. Boston Celtics, ""Skyhook Game""|Magic Johnson's Sky Hook against the Celtics|1987 Magic hook|Amazing NBA Playoff Moments: Magic Johnson Sky Hook|We Remember: Magic Johnson's Baby ""Sky"" Hook|Magic Johnson Legendary Hookshot in 1987 Finals",249498|181584|104470|65967|30425|23312,6,19870609-Magic Johnson,"""The Hook Shot"" by Magic",,lal|bos
SrlBgLdGKZM,257162,19830105,"Dr. J famous ""Rock the Baby"" Cradle Dunk against the Lakers",Julius Erving,1980,980560,YWYrjqfZqA8|tzq7e86m_W4|7YwY_tFSrWw|zMeVauc41Qs,"Best In Game Dunk Ever?  Dr. J Julius Erving Dunks On Michael Cooper|1983 Lakers @ 76ers - Dr. J Famous Cradle Dunk, Magic 20 assists|Dr. J (Julius Erving) ""Rock the Baby"" Dunk vs the Lakers|NBA Greatest Duels: Magic Johnson (23/12/20) vs Julius Erving (''Rock the Baby'' Dunk) (1983)",247100|216445|198009|61844,4,19830105-Julius Erving,"""Rock the baby"" cradle dunk by Dr. J",dk,phi|lal
QAjRWh-ZMcA,966236,19880410,Manute Bol's 4 Dunks vs. Knicks (10pts/10rebs/6blks) (1988),Manute Bol,1980,966236,,,,0,19880410-Manute Bol,Manute Bol dunks 4 times against the Knicks,dk,was|nyk
